name,description,duration,imdb_rating,metascore,directors,writers,stars
Infinity Pool,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",1h 57m,6.0,72,['Brandon Cronenberg'],['Brandon Cronenberg'],"['Alexander Skarsgård', 'Mia Goth', 'Cleopatra Coleman']"
Winnie-the-Pooh: Blood and Honey,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",1h 24m,2.9,16,['Rhys Frake-Waterfield'],['Rhys Frake-Waterfield'],"['Nikolai Leon', 'Maria Taylor', 'Natasha Rose Mills']"
Past Lives,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",1h 45m,7.8,94,['Celine Song'],['Celine Song'],"['Greta Lee', 'Teo Yoo', 'John Magaro']"
Knock at the Cabin,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",1h 40m,6.1,63,['M. Night Shyamalan'],"['Paul Tremblay', 'M. Night Shyamalan', 'Steve Desmond']","['Dave Bautista', 'Jonathan Groff', 'Ben Aldridge']"
Fair Play,"An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel far more than their recent engagement.",1h 53m,6.4,73,['Chloe Domont'],['Chloe Domont'],"['Phoebe Dynevor', 'Alden Ehrenreich', 'Eddie Marsan']"
Missing,"When her mother disappears while on vacation in Colombia with her new boyfriend, June's search for answers is hindered by international red tape. However, as she digs deeper, her digital sleuthing soon raises more questions than answers.",1h 51m,7.1,66,"['Nicholas D. Johnson', 'Will Merrick']","['Will Merrick', 'Nicholas D. Johnson', 'Sev Ohanian']","['Tim Griffin', 'Ava Zaria Lee', 'Nia Long']"
Operation Fortune: Ruse de Guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,1h 54m,6.3,51,['Guy Ritchie'],"['Guy Ritchie', 'Ivan Atkinson', 'Marn Davies']","['Jason Statham', 'Aubrey Plaza', 'Cary Elwes']"
Plane,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,1h 47m,6.5,62,['Jean-François Richet'],"['Charles Cumming', 'J.P. Davis']","['Gerard Butler', 'Mike Colter', 'Tony Goldwyn']"
Teen Wolf: The Movie,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",2h 21m,5.6,51,['Russell Mulcahy'],"['Jeff Davis', 'Will Wallace', 'Joseph Patrick Genier']","['Tyler Posey', 'Crystal Reed', 'Holland Roden']"
Eileen,"A young woman working at a boys' corrections facility becomes mesmerized by the new female psychologist, but their budding relationship soon takes a sinister turn.",1h 37m,5.9,72,['William Oldroyd'],"['Luke Goebel', 'Ottessa Moshfegh']","['Thomasin McKenzie', 'Shea Whigham', 'Sam Nivola']"
Run Rabbit Run,"Sarah Snook plays a fertility doctor who believes firmly in life and death, but after noticing the strange behavior of her young daughter, she must challenge her own values and confront a ghost from her past.",1h 40m,5.0,52,['Daina Reid'],['Hannah Kent'],"['Sarah Snook', 'Lily LaTorre', 'Neil Melville']"
